year,locality_code,locality_name,population
2026,06,Tunjuelito,174699
2026,07,Bosa,773327
2026,08,Kennedy,1104934
2026,09,Fontibón,384256
2026,10,Engativá,828873
2026,11,Suba,1252218
2026,12,Barrios Unidos,134573
2026,13,Teusaquillo,154663
2026,14,Los Mártires,75373
2026,15,Antonio Nariño,76643
2026,16,Puente Aranda,248758
2026,17,La Candelaria,16449
2026,18,Rafael Uribe Uribe,373665
2026,19,Ciudad Bolívar,690843
2026,20,Sumapaz,3385
2027,01,Usaquén,581789
2027,02,Chapinero,159101
2027,03,Santa Fe,113252
2027,04,San Cristóbal,392964
2027,05,Usme,403896
2027,06,Tunjuelito,173941
2027,07,Bosa,778085
2027,08,Kennedy,1105269
2027,09,Fontibón,382749
2027,10,Engativá,826086
2027,11,Suba,1251874
2027,12,Barrios Unidos,133753
2027,13,Teusaquillo,154034
2027,14,Los Mártires,75246
2027,15,Antonio Nariño,75871
2027,16,Puente Aranda,247914
2027,17,La Candelaria,16335
2027,18,Rafael Uribe Uribe,372168
2027,19,Ciudad Bolívar,696188
2027,20,Sumapaz,3426
2028,01,Usaquén,578809
2028,02,Chapinero,157891
2028,03,Santa Fe,113096
2028,04,San Cristóbal,391981
2028,05,Usme,405949
2028,06,Tunjuelito,173176
2028,07,Bosa,782370
2028,08,Kennedy,1104971
2028,09,Fontibón,381070
2028,10,Engativá,822967
2028,11,Suba,1250884
2028,12,Barrios Unidos,132893
2028,13,Teusaquillo,153301
2028,14,Los Mártires,75080
2028,15,Antonio Nariño,75106
2028,16,Puente Aranda,246990
2028,17,La Candelaria,16213
2028,18,Rafael Uribe Uribe,370552
2028,19,Ciudad Bolívar,701173
2028,20,Sumapaz,3467
2029,01,Usaquén,575518
2029,02,Chapinero,156661
2029,03,Santa Fe,112898
2029,04,San Cristóbal,390889
2029,05,Usme,407780
2029,06,Tunjuelito,172357
2029,07,Bosa,786217
2029,08,Kennedy,1104194
2029,09,Fontibón,379259
2029,10,Engativá,819590
2029,11,Suba,1249381
2029,12,Barrios Unidos,131998
2029,13,Teusaquillo,152442
2029,14,Los Mártires,74896
2029,15,Antonio Nariño,74344
2029,16,Puente Aranda,246046
2029,17,La Candelaria,16089
2029,18,Rafael Uribe Uribe,368847
2029,19,Ciudad Bolívar,705704
2029,20,Sumapaz,3522
2030,01,Usaquén,571992
2030,02,Chapinero,155360
2030,03,Santa Fe,112710
2030,04,San Cristóbal,389767
2030,05,Usme,409407
2030,06,Tunjuelito,171521
2030,07,Bosa,789665
2030,08,Kennedy,1103010
2030,09,Fontibón,377349
2030,10,Engativá,816027
2030,11,Suba,1247500
2030,12,Barrios Unidos,131086
